name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
Monster Hunter Freedom 2,Role-Playing,2007,Capcom,2.57,72,87,-15,Capcom,T,PSP,2007,No
Madden NFL 13,Sports,2012,Electronic Arts,2.56,83,55,28,EA,E,PS3,2012,Yes
Madden NFL 09,Sports,2008,Electronic Arts,2.53,83,70,13,EA,E,X360,2008,No
NBA 2K14,Sports,2013,Take-Two Interactive,2.52,87,49,38,Visual Concepts,E,X360,2013,Yes
Mortal Kombat: Deadly Alliance,Fighting,2002,Midway Games,2.49,79,88,-9,Midway,M,PS2,2002,No
Game Party,Misc,2007,Midway Games,2.48,25,43,-18,Midway,E,Wii,2007,No
NBA 2K13,Sports,2012,Take-Two Interactive,2.47,90,80,10,Visual Concepts,E,PS3,2012,No
NBA 2K15,Sports,2014,Take-Two Interactive,2.45,83,70,13,Visual Concepts,E,PS4,2014,No
The Sims: Bustin' Out,Simulation,2003,Electronic Arts,2.43,81,84,-3,Maxis,T,PS2,2003,No
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,2.43,79,80,-1,Traveller's Tales,E10+,Wii,2010,No
Madden NFL 16,Sports,2015,Electronic Arts,2.42,84,61,23,EA,E,XOne,2015,No
Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,Ubisoft,2.42,82,78,4,Ubisoft,M,X360,2008,No
Need for Speed Carbon: Own the City,Racing,2006,Electronic Arts,2.42,73,79,-6,EA,E10+,PSP,2006,No
pro evolution soccer 2011,Sports,2010,Konami Digital Entertainment,2.41,77,68,9,Konami,E,PS3,2010,No
Madden NFL 11,Sports,2010,Electronic Arts,2.38,83,61,22,EA,E,PS3,2010,No
Madden NFL 08,Sports,2007,Electronic Arts,2.37,85,64,21,EA,E,X360,2007,No
Tony Hawk's Underground 2,Sports,2004,Activision,2.37,83,88,-5,Neversoft Entertainment,T,PS2,2004,No
Madden NFL 10,Sports,2009,Electronic Arts,2.37,85,68,17,EA,E,PS3,2009,No
WWE SmackDown vs Raw 2008,Fighting,2007,Other,2.34,71,72,-1,Yuke's,T,PS2,2007,No
Resident Evil - Code: Veronica X,Action,2001,Capcom,2.34,84,84,0,Capcom,M,PS2,2001,No
NBA 2K16,Sports,2015,Take-Two Interactive,2.34,86,62,24,Visual Concepts,E10+,XOne,2015,No
James Bond 007: Everything or Nothing,Shooter,2004,Electronic Arts,2.31,84,91,-7,EA,T,PS2,2004,No
Need For Speed: High Stakes,Racing,1999,Electronic Arts,2.31,86,85,1,EA,E,PS,Before 2000,No
LEGO Star Wars: The Complete Saga,Action,2007,Other,2.29,80,67,13,Traveller's Tales,E10+,PS3,2007,No
Need for Speed Underground 2,Racing,2004,Electronic Arts,2.28,77,87,-10,EA,E,XB,2004,No
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,2.28,78,67,11,Konami,E,PS3,2009,No
FIFA Soccer 09,Sports,2008,Electronic Arts,2.28,82,69,13,EA,E,PS2,2008,No
Wario Land 4,Platform,2001,Nintendo,2.26,88,89,-1,Nintendo,E,GBA,2001,No
Far Cry: Primal,Action,2016,Ubisoft,2.26,76,63,13,Ubisoft,M,PS4,2016,No
Battlefield 1,Shooter,2016,Electronic Arts,2.25,87,82,5,EA,M,XOne,2016,No
Onimusha 2: Samurai's Destiny,Adventure,2002,Capcom,2.25,84,90,-6,Capcom,M,PS2,2002,No
Madden NFL 12,Sports,2011,Electronic Arts,2.25,79,55,24,EA,E,PS3,2011,No
Guitar Hero III: Legends of Rock,Misc,2007,Activision,2.24,83,78,5,Neversoft Entertainment,T,PS3,2007,No
New Super Luigi U,Platform,2013,Nintendo,2.24,77,79,-2,Nintendo,E,WiiU,2013,No
Madden NFL 25,Sports,2013,Electronic Arts,2.23,80,56,24,EA,E,X360,2013,No
Prince of Persia: The Sands of Time,Action,2003,Ubisoft,2.22,92,88,4,Ubisoft,T,PS2,2003,No
Monster Hunter Tri,Role-Playing,2009,Nintendo,2.22,84,86,-2,Capcom,T,Wii,2009,No
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,2.22,80,76,4,TT Games,E10+,X360,2013,No
Tom Clancy's Rainbow Six: Siege,Shooter,2015,Ubisoft,2.21,73,73,0,Ubisoft,M,PS4,2015,No
Madden NFL 15,Sports,2014,Electronic Arts,2.19,81,61,20,EA,E,PS4,2014,No
Pro Evolution Soccer 2012,Action,2011,Konami Digital Entertainment,2.19,80,66,14,Konami,E,PS3,2011,No
FIFA 15,Sports,2014,Electronic Arts,2.18,82,54,28,EA,E,XOne,2014,Yes
The Sims: House Party,Simulation,2001,Electronic Arts,2.16,74,79,-5,Maxis,T,PC,2001,No
